question,answer
What immigration programs can I apply for?,"We have an online tool called Come to CanadaCome to Canada. It helps foreign nationals find out if they may be eligible to apply as immigrantsimmigrants, visitorsvisitors, workersworkers or studentsstudents in Canada.This tool guides you through some questions about your personal and work history. Based on your responses and your situation, it then gives you:
a list of options; anda list of options; and
step-by-step instructions on how to apply.step-by-step instructions on how to apply.
The Come to Canada tool is for reference only. No immigration decision will be made based on your answers. If you choose to apply, an immigration officer will consider your complete application based on Canada’s immigration law. Your results from the tool will have no bearing on their decision.If you may be eligible as a visitor, worker, or student you can apply online. The tool will direct you to your account, where you can create an accountcreate an account and fill out the online application. You may also have the option to complete a paper application.If you may be eligible to immigrate permanently under Express Entry, you must apply online (unless you cannot because of a disability). The tool will direct you to your account, where you will create an accountcreate an account and can fill out the online application.If you may be eligible to immigrate permanently under any other program, you must submit a paper applicationapplication."
"How can I come to Canada as a visitor, worker or student?","We have created an online tool called Come to CanadaCome to Canada. It will help you figure out whether you can come to Canada as an immigrantimmigrant, visitorvisitor, workerworker or studentstudent.This tool guides you through some questions and based on your responses and your situation, it then gives you: 
a list of options anda list of options and
step-by-step instructions on how to apply.step-by-step instructions on how to apply.
This tool will help you understand the requirements for immigrating to, visiting, studying in or working in Canada. If you are eligible as a visitor,  worker or student you can apply online through this tool. You will also have  the option to complete a paper applicationapplication."
How can I determine whether I can apply for permanent residence?,"To find out if you can apply for permanent residency try the Come to CanadaCome to Canada tool. It will help you figure out which immigration programimmigration program will work best for you.This tool guides you through some questions. Based on your responses and your situation, it will give you: 
a list of options, anda list of options, and
step-by-step instructions on how to apply.step-by-step instructions on how to apply.
This tool will help you understand the requirements to immigrate to, visit, study in or work in Canada. However, to actually come to Canada, you must still submit the right application formsapplication forms."
How long must I stay in Canada to keep my permanent resident status?,"

Residency requirement

Residency requirementResidency requirement

To maintain your status as a permanent resident, you must live in Canada for at least two years within a five-year period. During this time you must be here physically. To maintain your status as a permanent resident, you must live in Canada for at least two years within a five-year period. During this time you must be here physically. 
The two years may not need to be continuous. An officer can confirm if your time in Canada counts when you:The two years may not need to be continuous. An officer can confirm if your time in Canada counts when you:

re-enter Canada, or
apply for a permanent resident card.

re-enter Canada, orre-enter Canada, or
apply for a permanent resident card.apply for a permanent resident card.

Time spent outside Canada may also count towards the two years if you are: Time spent outside Canada may also count towards the two years if you are: 

travelling with your spouse or partner who is a Canadian citizen, 
a dependent child travelling with his or her father or mother who is a Canadian citizen, 
an employee of (or under contract to) a Canadian business. 

travelling with your spouse or partner who is a Canadian citizen, travelling with your spouse or partner who is a Canadian citizen, 
a dependent child travelling with his or her father or mother who is a Canadian citizen, a dependent childdependent child travelling with his or her father or mother who is a Canadian citizen, 
an employee of (or under contract to) a Canadian business. an employee of (or under contract to) a Canadian business. 

It may also count if you are:It may also count if you are:

travelling with your spouse or partner who is a permanent resident and works full-time for:
      
a Canadian business, or
the public service of Canada or a province, 


a child travelling with his or her father or mother who is a permanent resident and who works full-time for:
      
a Canadian business, or
the public service of Canada or a province. 


an employee of (or under contract to) the public service of Canada or a province and you are on a full-time assignment to:
      
a position outside Canada, 
a partner business outside Canada, or
a client of the Canadian business or the public service outside Canada. 



travelling with your spouse or partner who is a permanent resident and works full-time for:
      
a Canadian business, or
the public service of Canada or a province, 

travelling with your spouse or partner who is a permanent resident andand works full-time for:
      
a Canadian business, or
the public service of Canada or a province, 

a Canadian business, ora Canadian business, oror
the public service of Canada or a province, the public service of Canada or a province, 


a child travelling with his or her father or mother who is a permanent resident and who works full-time for:
      
a Canadian business, or
the public service of Canada or a province. 

a child travelling with his or her father or mother who is a permanent resident andand who works full-time for:
      
a Canadian business, or
the public service of Canada or a province. 

a Canadian business, ora Canadian business, oror
the public service of Canada or a province. the public service of Canada or a province. 


an employee of (or under contract to) the public service of Canada or a province and you are on a full-time assignment to:
      
a position outside Canada, 
a partner business outside Canada, or
a client of the Canadian business or the public service outside Canada. 

an employee of (or under contract to) the public service of Canada or a province andand you are on a full-time assignment to:
      
a position outside Canada, 
a partner business outside Canada, or
a client of the Canadian business or the public service outside Canada. 

a position outside Canada, a position outside Canada, 
a partner business outside Canada, ora partner business outside Canada, oror
a client of the Canadian business or the public service outside Canada. a client of the Canadian business or the public service outside Canada. 



The travel journal is an easy way to record your time outside Canada. It can help you fill out the permanent resident application form.The travel journaltravel journal is an easy way to record your time outside Canada. It can help you fill out the permanent resident application form.


Losing your status

Losing your statusLosing your status

You must not engage in an act that would make you inadmissible to Canada such as committing a serious crime. Other acts that could lead to a permanent resident losing your status include security, human or international rights violations, organized criminality and misrepresentation.You must not engage in an act that would make you inadmissible to Canada such as committing a serious crime. Other acts that could lead to a permanent resident losing your status include security, human or international rights violations, organized criminality and misrepresentation.
Permanent residents are not afforded the same protections and privileges under Canadian law as Canadian citizens and may be subject to removal if they commit criminal acts. Permanent residents are not afforded the same protections and privileges under Canadian law as Canadian citizens and may be subject to removal if they commit criminal acts. 


Giving up your status

Giving up your statusGiving up your status

Some people may choose to voluntarily give up their permanent residence status. For example, you may decide to apply to give up your status if you:Some people may choose to voluntarily give up their permanent residence statusvoluntarily give up their permanent residence status. For example, you may decide to apply to give up your status if you:

know you have not met your residency obligations by being outside Canada for a long period of time, and
want to visit Canada, and
do not want to wait for a visa officer to do a formal assessment of your permanent resident status
you no longer want to live in Canada permanently

know you have not met your residency obligations by being outside Canada for a long period of time, andknow you have not met your residency obligations by being outside Canada for a long period of time, andand
want to visit Canada, andwant to visit Canada, andand
do not want to wait for a visa officer to do a formal assessment of your permanent resident statusdo not want to wait for a visa officer to do a formal assessment of your permanent resident status
you no longer want to live in Canada permanentlyyou no longer want to live in Canada permanently

OROROR

would like to avoid processing delays at the Port of Entry

would like to avoid processing delays at the Port of Entrywould like to avoid processing delays at the Port of Entry

"
How do I fill out an immigration application?,"If you are applying on paperon paper: 
Answer every question, even if it does not apply to you. If any answer, or the application, is incomplete, we may return or refuse it.Answer every question, even if it does not apply to you.Answer every question, even if it does not apply to you. If any answer, or the applicationapplication, is incomplete, we may return or refuse it.
If you do not have an answer to a question, and there are no instructions for it on the form or in the instruction guide, write “not applicable” or “N/A” in the space provided. That shows you have read and filled out the form fully.If you do not have an answer to a questionIf you do not have an answer to a question, and there are no instructions for it on the form or in the instruction guide, write “not applicable” or “N/A” in the space provided. That shows you have read and filled out the form fully.
If your answer to a question will not fit in the space on a printed form, write your full answer on a separate sheet of paper. Note on the paper the exact form you are using and the letter or number of the question you are answering.If your answer to a question will not fit in the space on a printed formIf your answer to a question will not fit in the space on a printed form, write your full answer on a separate sheet of paperon a separate sheet of paper. Note on the paper the exact form you are using and the letter or number of the question you are answering.
If you want to give us more information, such as details of your case, provide it on a separate sheet of paper.If you want to give us more information,If you want to give us more information, such as details of your case, provide it on a separate sheet of paper.
See more tips on completing formstips on completing forms. If you are applying onlineonline:
Answer every question on the application form. If an answer, or the application, is incomplete, we may refuse it.Answer every question on the application form.Answer every question on the application form. If an answer, or the applicationapplication, is incomplete, we may refuse it.
If you do not have an answer to a question, and there are no instructions for it on the form or in the Instruction Guide, write “not applicable” or “N/A” in the space provided. If you do not have a Unique Client Identifier (UCI), leave the space empty.If you do not have an answer to a questionIf you do not have an answer to a question, and there are no instructions for it on the form or in the Instruction Guide, write “not applicable” or “N/A” in the space provided. If you do not have a Unique Client Identifier (UCI), leave the space empty.
If you want to give us more information about your case, type your explanation into a new document and save it. Go to the “Optional documents” section of your document checklist in your account, choose “add letter of explanation,” and upload it.If you want to give us more information about your caseIf you want to give us more information about your case, type your explanation into a new document and save it. Go to the “Optional documents” section of your document checklist in your account, choose “add letter of explanation,” and upload it.
"
What is my client ID?,"Your client IDID, also referred to as a UCIUCI, is on all documents you get from us. It is an eight or ten-digit number eight or ten-digit number that looks like this: 0000-0000 or 00-0000-00000000-0000 or 00-0000-0000. If you are applying to us for the first time, you will not yet have a client ID.If you are applying to us for the first time, you will not yet have a client IDID. If you are filling out a form that asks for one, write “Not Applicable” or “N/A” in the space provided.If you are applying online and the form does not allow you to input “N/A,” leave the space blank."
What is a UCI?,"UCIUCI stands for “unique client identifier.” It is also known as a client identification number (client IDID). It’s on official documents you get from us. It has either:
four numbers, a hyphen and four more numbers (Example: 0000-0000) orfour numbers, a hyphen and four more numbers (Example: 0000-0000) or
two  numbers, a hyphen, four numbers, a hyphen and four more numbers (Example: 00-0000-0000)two  numbers, a hyphen, four numbers, a hyphen and four more numbers (Example: 00-0000-0000)
If you are applying to us for the first time, you will not yet have a UCI.If you are applying to us for the first time, you will not yet have a UCIUCI. If you are filling out a form that asks for one, write “Not Applicable” or “N/A” in the space provided.If you are applying online and the form does not allow you to type “N/A,” leave the space blank."
Where can I find my client ID/UCI?,"This eight or ten digit number appears on all documents you get from us. It looks like this: 0000-0000 or 00-0000-0000.0000-0000 or 00-0000-0000.
If you have sent us an application beforeIf you have sent us an application before
Look for this number on:Look for this number on:

letters we sent you
your immigration document such as a PR card, study or work permit

letters we sent youletters we sent you
your immigration document such as a PR card, study or work permityour immigration document such as a PR card, study or work permit

If you do not have any of these documents but want to fill out an application form:If you do not have any of these documents but want to fill out an application form:

you can leave the field for UCI (Client ID) blank

you can leave the field for UCI (Client ID) blankyou can leave the field for UCI (Client ID) blank

If you have not dealt with us since 1973, you will not have a UCI or a Client ID.If you have not dealt with us since 1973, you will not have a UCI or a Client ID.

If you have not sent us an application beforeIf you have not sent us an application before
You will not yet have a client ID. If you are filling out a form that asks for one, write “Not Applicable” or “N/A” in the space provided.You will not yet have a client IDYou will not yet have a client ID. If you are filling out a form that asks for one, write “Not Applicable” or “N/A” in the space provided.
If you are applying online and the form does not allow you to write “N/A,” leave the space blank.If you are applying online and the form does not allow you to write “N/A,” leave the space blank.
"
I forgot my client ID/UCI. How can I get it?,"This eight or ten digit number looks like this: 0000-0000 or 00-0000-00000000-0000 or 00-0000-0000.Look for this number on:
letters we sent youletters we sent you
your immigration document such as a PR card, study or work permityour immigration document such as a PR card, study or work permit
If you do not have any of these documents but want to fill out an application form, you can leave the field for UCI (Client ID) blank.If you have not dealt with us since 1973, you will not have a UCI or a Client ID."
When will I get my client ID/UCI?,"You will get your client ID – also known as your unique client identifier (UCI) – once you apply. This eight or ten digit number is on all documents you get from us. It looks like this: 0000-0000 or 00-0000-00000000-0000 or 00-0000-0000.If you are applying to us for the first time, you will not yet have a client IDIf you are applying to us for the first time, you will not yet have a client ID. If so, and you are filling out a form that asks for one, write “Not Applicable” or “N/A” in the space provided. If you are applying online and the form does not allow you to type “N/A,” leave the space blank."
What do you mean by surname?,"Your surname is your family name. It is also called your “last name.” When filling out applications, type your surname as it appears on your passport, travel or identity document. Do not use initials.If you do not have a family name on your passport, travel or identity document, enter all your given name(s) in the surname field and leave the given name field blank. Do not enterDo not enter “Not applicable,” “*” or “NA.”"
I don’t know what dates to put in the history section on my immigration form. What do I do?,"There are three history fields on the form: 
work historywork history
address historyaddress history
education historyeducation history
Each has a “to” section. This is where you  put when you finished that activity or moved from that address. If  you are still working or studying, or if you still live at that address, write  “todaytoday” or the date you are signing the application. If you do not know the  exact dates, use your best guess."
I don’t have enough space on the form to explain everything. What should I do?,"If  you need more space to explain your situation, attach a separate sheet of paper. On  the paper, give the full answer. Write the letter or  number of the question you are answering."
What if some of the questions on the application form don’t apply to me?,"You should  fill in all spaces on immigration application forms. If a question does not apply,  write “not applicable” or “N/A” in the space. That shows you have read and  filled out the form fully.If you are applying online and the form does not allow you  to type “N/A,” leave the space blank."
How do I apply for an open work permit?,"To apply for an open work permit, use the application for a work permit from outside Canadaoutside Canada or from inside Canadainside Canada.If you are applying from outside Canada:In the “Details of intended work in Canada” section of the IMM 1295 application form:
choose “Open Work Permit” for question 1choose “Open Work Permit” for question 1
leave questions 2 to 6 blankleave questions 2 to 6 blank
Pay your fees:
$100 open permit holder fee and$100 open permit holder fee and
$155 work permit fee$155 work permit fee
Find out how to:
pay your feespay your feespay your fees
submit your applicationsubmit your applicationsubmit your application
If you are applying from inside Canada:In the “Details of intended work in Canada” section of the IMM 5710 application form:
choose “Open Work Permit” for question 1choose “Open Work Permit” for question 1
leave questions 2 to 7 blankleave questions 2 to 7 blank
answer question 8answer question 8
Pay your fees:
$100 open permit holder fee and$100 open permit holder fee and
$155 work permit fee$155 work permit fee
Find out how to:
pay your fees.pay your feespay your fees.
submit your application as a:
    
worker
sponsored spouse or partner currently living in Canada

submit your application as a:
    
worker
sponsored spouse or partner currently living in Canada

workerworkerworker
sponsored spouse or partner currently living in Canadasponsored spouse or partner currently living in Canadasponsored spouse or partner currently living in Canada


"
What language should my supporting documents be in?,"Unless we tell you otherwise,  all supporting documents  must be in English or French.If  it is not in English or French, you must send it with:
the English or French translation andthe English or French translation and
an affidavit from the person who completed the  translation andan affidavitaffidavit from the person who completed the  translation and
a certified photocopy of the original documenta certified photocopycertified photocopy of the original document
"
"If I am not using a representative, do I need to send a blank Use of a Representative form?","No. If you will not be using an immigration representativerepresentative,  you do not need to include the Use of a Representative form  (IMM 5476) with your  application."
"What should I do if I want my spouse, family member or friend to check on my application for me?","If you want your spouse, family member, friend or other person to check your application status for you, but not do business with IRCC on your behalf, you must: 
Fill and submit the Authority to Release Personal Information to a Designated Individual (IMM 5475) form with your application.Fill and submit the Authority to Release Personal Information to a Designated Individual (IMM 5475)Authority to Release Personal Information to a Designated Individual (IMM 5475) form with your application.
If you already submitted your application, send the authorization through this Web form. It will take us 5 to 10 business days to update your file.If you already submitted your application, send the authorization through this Web formWeb form. It will take us 5 to 10 business days5 to 10 business days to update your file.
Note:Note: If you want to appoint someone to do business with us on your behalf, you must submit a Use of a Representative (IMM 5476)Use of a Representative (IMM 5476) form."
How can I get my immigration application processed faster?,"The time it takes to process an application varies. It depends on where you applied and your situation. To avoid delays:
include all the information we ask for with your application. Use the document checklist in the application packageinclude all the information we ask for with your application. Use the document checklist in the application packageapplication package
tell us of any changes to the personal information on your application, such as changes to your:
    
name
contact information
family situation

tell ustell us of any changes to the personal information on your application, such as changes to your:
    
name
contact information
family situation

namename
contact informationcontact information
family situationfamily situation


make sure the photocopies and documents you give us are clearmake sure the photocopies and documents you give us are clear
provide certified English or French translations of original documents that you submit in other languagesprovide certified English or French translationscertified English or French translations of originaloriginal documents that you submit in other languages
tell the truth on your applicationtell the truth on your application
There may be delays in processing your application if: 
you do not tell us of any criminal or security problems related to ityou do not tell us of any criminal or security problems related to it
your family situation is unclear because of issues such as
    
a divorce
an incomplete adoption
unresolved child custody issues

your family situation is unclear because of issues such as
    
a divorce
an incomplete adoption
unresolved child custody issues

a divorcea divorce
an incomplete adoptionan incomplete adoption
unresolved child custody issuesunresolved child custody issues


the office has to consult with other offices in Canada or abroadthe office has to consult with other offices in Canada or abroad
"
What happens after I send in my application?,"In most cases, your application will go through these general steps.

If you’re applying for an Electronic travel authorization (eTA)

If you’re applying for an Electronic travel authorization (eTA)If you’re applying for an Electronic travel authorization (eTA)

Email notificationEmail notification
In most cases, you’ll receive a confirmation from us within minutes of applying for your eTA. However, some requests may need several days to process. If this is the case, you can expect an email from us within 72 hours of applying. It will tell you what to do next.In most cases, you’ll receive a confirmation from us within minutes of applying for your eTA. However, some requests may need several days to process. If this is the case, you can expect an email from us within 72 hours of applying. It will tell you what to do next.
Be sure to give us a current email address when you apply.Be sure to give us a current email address when you apply.
Changing your email address Changing your email address 
If you change your email address after you apply for an eTA, you must update your email address online. You can do this using this Web form.If you change your email address after you apply for an eTAafter you apply for an eTA, you must update your email address online. You can do this using this Web formWeb form.
After you receive your eTA After you receive your eTA 
Your eTA will be valid for five years or until your passport expires, whichever comes first. Your eTA is linked to the passport you used in your eTA application. You will need to show this passport to the airline agent every time you board a flight.Your eTA will be valid for five years or until your passport expires, whichever comes first. Your eTA is linked to the passport you used in your eTA application. You will need to show this passport to the airline agent every time you board a flight.

Note: Having a valid eTA and travel document will make it easier for you to enter Canada, but it does not guarantee your entry. When you arrive in Canada, you will still need to show a border services officer that you meet all requirements to enter. If you do not, you may not be allowed to enter.

Note: Having a valid eTA and travel document will make it easier for you to enter Canada, but it does not guarantee your entry. When you arrive in Canada, you will still need to show a border services officer that you meet all requirements to enter. If you do not, you may not be allowed to enter.Note:Note: Having a valid eTA and travel document will make it easier for you to enter Canada, but it does not guarantee your entry. When you arrive in Canada, you will still need to show a border services officer that you meet all requirements to enterrequirements to enter. If you do not, you may not be allowed to enter.



If you’re applying for a visitor visa, study or work permit

If you’re applying for a visitor visa, study or work permitIf you’re applying for a visitor visa, study or work permit

We will:We will:

review your application to make sure it’s complete
decide if you are allowed to come to or stay in Canada (we could do a background screening)
decide if you are eligible to apply to work, study or visit Canada
tell you how to get a medical exam if you need one
decide if you need to go to an interview 
tell you of the decision we make on your application

review your application to make sure it’s completereview your application to make sure it’s completecomplete
decide if you are allowed to come to or stay in Canada (we could do a background screening)decide if you are allowed to come to or stay in Canada (we could do a background screening)
decide if you are eligible to apply to work, study or visit Canadadecide if you are eligible to apply to work, study or visit Canada
tell you how to get a medical exam if you need onetell you how to get a medical exam if you need one
decide if you need to go to an interview decide if you need to go to an interview 
tell you of the decision we make on your applicationtell you of the decision we make on your application

If you applied online, we will contact you through your account.If you applied online, we will contact you through your accountaccount.
If you applied on paper, we will contact you using the information you gave us.If you applied on paper, we will contact you using the information you gave us.


If you’re applying for permanent residence or to sponsor a family member

If you’re applying for permanent residence or to sponsor a family memberIf you’re applying for permanent residence or to sponsor a family member

We will:We will:

review your application to make sure it’s complete
decide if you are eligible to sponsor
decide if you are eligible to apply to become a permanent resident of Canada
tell you when we start processing your application,
tell you how to get a medical exam, if you did not get one before sending in your application
do a security screening, to make sure all applicants do not pose a risk to the safety and security of Canadians
decide if you need to go to an interview
tell you of the decision we make on your application

review your application to make sure it’s completereview your application to make sure it’s completecomplete
decide if you are eligible to sponsordecide if you are eligible to sponsor
decide if you are eligible to apply to become a permanent resident of Canadadecide if you are eligible to apply to become a permanent resident of Canada
tell you when we start processing your application,tell you when we start processing your application,
tell you how to get a medical exam, if you did not get one before sending in your applicationtell you how to get a medical exam, if you did not get one before sending in your application
do a security screening, to make sure all applicants do not pose a risk to the safety and security of Canadiansdo a security screening, to make sure all applicants do not pose a risk to the safety and security of Canadians
decide if you need to go to an interviewdecide if you need to go to an interview
tell you of the decision we make on your applicationtell you of the decision we make on your application



If you’re applying for citizenship

If you’re applying for citizenshipIf you’re applying for citizenship

To process applications for a grant of Canadian citizenship, we will:To process applications for a grant of Canadian citizenship, we will:

review your application to make sure it’s complete
take your fees and send you an acknowledgement of receipt letter
review your application to make sure you meet the requirements for Canadian citizenship
schedule you to take the citizenship test, if you’re between 14 and 64 years old
schedule an interview with you (All applicants will have an interview with an IRCC official. Some applicants may need to have a hearing with a citizenship officer or a citizenship judge)
tell you of the decision made on your application
schedule you to take the oath of citizenship in person at a citizenship ceremony, if we approve your application

review your application to make sure it’s completereview your application to make sure it’s completecomplete
take your fees and send you an acknowledgement of receipt lettertake your fees and send you an acknowledgement of receipt letter
review your application to make sure you meet the requirements for Canadian citizenshipreview your application to make sure you meet the requirements for Canadian citizenship
schedule you to take the citizenship test, if you’re between 14 and 64 years oldschedule you to take the citizenship test, if you’re between 14 and 64 years old
schedule an interview with you (All applicants will have an interview with an IRCC official. Some applicants may need to have a hearing with a citizenship officer or a citizenship judge)schedule an interview with you (All applicants will have an interview with an IRCC official. Some applicants may need to have a hearing with a citizenship officer or a citizenship judge)
tell you of the decision made on your applicationtell you of the decision made on your application
schedule you to take the oath of citizenship in person at a citizenship ceremony, if we approve your applicationschedule you to take the oath of citizenship in person at a citizenship ceremony, if we approve your application

There are several ways to check the statuscheck the status of your application. "
"If my immigration application is refused, do I have to wait before I apply again?","If we refuse your application to come to Canada, you can apply again at any time, unless your decision letter says you can’t. You should only apply again if you can include information that you didn’t include before.If you had legal statuslegal status and lost it (for example, if your work permit expiredwork permit expired and you did not renew it in time), you have a small amount of time to re-apply. See your decision letter for details."
Can my friend or family member handle my immigration or citizenship application for me?,"Yes, if you send a completed Use of a Representative form (IMM 5476)Use of a Representative form (IMM 5476) with your application. This form is for if you wish to appoint a representativerepresentative (an immigration or  citizenship consultant, lawyer, friend, family member, etc.) to provide advice, consultation, or guidance to you at any stage of the immigration or  citizenship application process, or in an immigration or  citizenship proceeding. If you want your spouse, a family member or a friend to check your application status for you, see What should I do if I want my spouse, family member or friend to check on my application for me?What should I do if I want my spouse, family member or friend to check on my application for me?"
How can I get help with my application?,"If you need help, you can use one of these resources: Find out if you are eligible to applyDo you want to work, study, visit, travel through or live permanently in Canada? Answer a few questionsAnswer a few questions to find out what immigration programs you can apply for.Frequently asked questions and how-to videosOur Help CentreHelp Centre has answers to over 800 questions to help you with your application.You can also watch how-to videoshow-to videos in the IRCC video centre for more help.Instruction guidesEach application package has an instruction guide.  Use this guide to help you get your application ready. It gives you tips on how to correctly fill out your forms, and instructions on how to submit your application.Find your instruction guideFind your instruction guide.Visa application centres (VACs)VACs take applications for :
study permits, study permits, 
work permits, work permits, 
visitor visas (temporary resident visa), and visitor visas (temporary resident visa), and 
travel documents for permanent residents. travel documents for permanent residents. 
VACs are private businesses that accept applications and handle them to and from the visa office.VACs can serve you in local languages, make sure your application is complete, collect biometricsbiometrics and track your application. You will have to pay to use VAC services.Find your closest VACFind your closest VAC.
  RepresentativesA representativerepresentative is anyone (family, friend or paid advisor) who helps you with your application and who you give consent to get information about your file.  
Read more about using representativesRead more about using representativesusing representatives
Find out how to fill out the  form to appoint one 
    
Read the instruction guide
Watch the instructional video

Find out how to fill out the  form  form to appoint one 
    
Read the instruction guide
Watch the instructional video

Read the instruction guideRead the instruction guideinstruction guide
Watch the instructional videoWatch the instructional videoinstructional video



Protect yourself from fraud
    You do not need to hire anyone to help you with your application. It is up to you. You can get all the forms and information that you need to apply for free on this website. If you hire someone, it does not guarantee that your application will be approved or processed faster.Protect yourself from fraudProtect yourself from fraud
    You do not need to hire anyone to help you with your application. It is up to you. You can get all the forms and information that you need to apply for freefree on this website. If you hire someone, it does not guarantee that your application will be approved or processed faster.
Beware of fraud and scams that make promises about your application.Beware of fraud and scamsBeware of fraud and scams that make promises about your application.
"
How can I pay my application fees?,"See Pay your feesPay your fees to learn how you can pay your fees. Your payment options will depend on :
where are you are paying from, andwhere are you are paying from, and
what you are paying for.what you are paying for.
"
How do I pay online?,"If you are applying onlineIf you are applying onlineapplying online, you will be asked to pay at the end of your application.If you are paying onlineIf you are paying onlinepaying online for a paper applicationpaper application:
Select your fee category.Select your fee category.
When you get to the fee table, select the fees you want to pay by putting a number in the “Quantity” column.When you get to the fee table, select the fees you want to pay by putting a number in the “Quantity” column.
When you reach the “Summary of Fees” page, select “Login and Pay”. You will be asked to log in or register for a new payment account.When you reach the “Summary of Fees” page, select “Login and Pay”. You will be asked to log in or register for a new payment account.
After you log in, you will go to an external Web page to enter your payment details. Once your payment is completed, a receipt will be emailed to you.After you log in, you will go to an external Web page to enter your payment details. Once your payment is completed, a receipt will be emailed to you.
After you pay online, submit proof of payment with your application:
Print a copy of your receipt.Print a copy of your receipt.
Write your application number or your Client ID Number on the back of your receipt. If you do not know them or a number has not been assigned to you yet, write your full name and address instead.Write your application number or your Client ID Number on the back of your receipt. If you do not know them or a number has not been assigned to you yet, write your full name and address instead.
Include a copy of the receipt with your application.Include a copy of the receipt with your application.
"
How do I reset my password for the online payment system?,"To reset your password:
Go to the “Manage account” section of your payment account.Go to the “Manage accountManage account” section of your payment account.
Select “Forgot your password,” enter your email address and then “continue.”Select “Forgot your password,” enter your email address and then “continue.”
Answer the challenge questions and choose a new password.Answer the challenge questions and choose a new password.
If you forgot the answers to your challenge questions, you will have to create a new account. You won’t be able to access your previous receipts online but you can request a copyrequest a copy from us.If you applied online and can’t remember your password, see: What do I do if I lost my GCKey username or password?What do I do if I lost my GCKey username or password?"
Can I pay my fees at a bank in Canada?,"In most cases, no. The payment receipt form (IMM 5401) used to pay at a bank in Canada is no longer available. If you already have one that was stamped by your bank before March 31, 2016, you can still use it to pay at any time.Otherwise, you must pay your fees onlinepay your fees online."
Is my payment receipt form (IMM 5401) still valid?,"If the date stamped on your form is:
On or before March 31, 2016: You can submit it with your application as proof of payment at any time.On or before March 31, 2016:On or before March 31, 2016: You can submit it with your application as proof of payment at any time.
April 1, 2016 or later: Your payment receipt form will not be accepted. Find out how to pay your fees online.April 1, 2016 or later:April 1, 2016 or later: Your payment receipt form will not be accepted. Find out how to pay your fees onlinepay your fees online.
"
How can I get a copy of my receipt after paying my fees?,"There are different ways to get a copy of your receipt depending on how you paid and applied.If you:
applied online: sign in to your account and select Check status and messages. Your receipt number will be in your submission confirmation message.applied online:applied onlineapplied online: sign in to your account and select Check status and messages.Check status and messages. Your receipt number will be in your submission confirmation message.
paid online for a paper application: we will email you a copy of your receipt. To get copies of your past receipts login to your online payment account and select View all receipts from the menu bar.paid online for a paper application:paid online for a paper applicationpaid online for a paper application: we will email you a copy of your receipt. To get copies of your past receipts login to your online payment accountyour online payment account and select View all receiptsView all receipts from the menu bar.
paid at a bank in Canada: you must contact the bank you paid with to see if they have a copy of your receipt.paid at a bank in Canada:paid at a bank in Canada: you must contact the bank you paid with to see if they have a copy of your receipt.
paid online for an eTA or through the Employer Portal: your receipt is only available on the receipt screen immediately following your payment. You cannot get another copy of your receipt after you leave the receipt screen. paid online for an eTA or through the Employer Portal:paid online for an eTA or through the Employer Portal: your receipt is onlyonly available on the receipt screen immediately following your payment. You cannot get another copy of your receipt after you leave the receipt screen. 
paid any other way: use the web form to request a copy of your receipt. This includes if you paid at a bank outside Canada, with a bank draft, money order or pre-authorized credit card form.paid any other way:paid any other way: use the web formweb form to request a copy of your receipt. This includes if you paid at a bank outside Canada, with a bank draft, money order or pre-authorized credit card form.
"
I can’t access my online payment account to get a copy of my receipt. What can I do?,"If you paid onlinepaid online for a paper application and can’t see the receipt on your account or can’t access your account, contact us using our web formweb form. See also: How can I get a copy of my receipt after paying my feesHow can I get a copy of my receipt after paying my fees?"
Why is my online payment being refused?,"You may be entering the wrong information or using a card that we don’t accept.Make sure we accept your cardWe accept:
Visa®, MasterCard®, American Express® or JCB® credit cards (including prepaid cards)Visa®®, MasterCard®®, American Express®® or JCB®® credit cards (including prepaid cards)
Visa® Debit and MasterCard® Debit,Visa®® Debit and MasterCard®® Debit,
UnionPay® (for online applications only; debit cards not accepted), andUnionPay®® (for online applications only; debit cards not accepted), and
Debit cards (issued from a participating Canadian bank).Debit cards (issued from a participating Canadian bank).
Debit card users must be enrolled in online banking to pay their fees online.When entering your billing address, select the country firstIf you live outside Canada and the United States, the State/Province State/Province field will show Not ApplicableNot Applicable and ZIP/Postal CodeZIP/Postal Code will not be required.Check your payment detailsThe information you enter must match what your financial institution has on file for your account. Check your account statement to make sure that you are entering your payment details the same way.Sometimes, when your payment details do not match, your financial institution will hold the amount of the transaction for a few days. Delays vary depending on your financial institution. Contact your financial institution for more information on holds."
